Size,TimeMicroseconds,Threshold
10000,1686,5
500,112,5
600,87,5
700,111,5
800,140,5
900,174,5
1000,189,5
1100,214,5
1200,199,5
1300,243,5
1400,242,5
1500,276,5
1600,293,5
1700,355,5
1800,353,5
1900,261,5
2000,330,5
2100,393,5
2200,351,5
2300,359,5
2400,387,5
2500,383,5
2600,410,5
2700,439,5
2800,467,5
2900,632,5
3000,543,5
3100,575,5
3200,586,5
3300,603,5
3400,620,5
3500,557,5
3600,634,5
3700,554,5
3800,667,5
3900,787,5
4000,770,5
4100,580,5
4200,715,5
4300,746,5
4400,749,5
4500,760,5
4600,762,5
4700,778,5
4800,955,5
4900,800,5
5000,888,5
5100,825,5
5200,1178,5
5300,897,5
5400,923,5
5500,949,5
5600,1150,5
5700,1212,5
5800,1077,5
5900,1301,5
6000,1341,5
6100,1191,5
6200,1285,5
6300,1178,5
6400,1252,5
6500,1267,5
6600,1200,5
6700,1267,5
6800,1280,5
6900,1308,5
7000,1051,5
7100,1330,5
7200,1335,5
7300,1336,5
7400,1345,5
7500,1358,5
7600,1371,5
7700,1947,5
7800,1662,5
7900,1406,5
8000,1488,5
8100,1474,5
8200,1461,5
8300,1505,5
8400,1193,5
8500,1528,5
8600,1204,5
8700,1527,5
8800,1550,5
8900,1581,5
9000,1577,5
9100,1584,5
9200,1581,5
9300,1602,5
9400,1546,5
9500,1646,5
9600,1889,5
9700,1939,5
9800,1680,5
9900,1696,5
10000,1720,5
