Size,TimeMicroseconds,Threshold
10000,2001,10
500,74,10
600,74,10
700,117,10
800,132,10
900,149,10
1000,162,10
1100,158,10
1200,191,10
1300,196,10
1400,273,10
1500,298,10
1600,293,10
1700,321,10
1800,332,10
1900,333,10
2000,357,10
2100,364,10
2200,578,10
2300,392,10
2400,447,10
2500,439,10
2600,497,10
2700,507,10
2800,579,10
2900,576,10
3000,589,10
3100,609,10
3200,607,10
3300,653,10
3400,684,10
3500,870,10
3600,917,10
3700,700,10
3800,707,10
3900,734,10
4000,944,10
4100,1010,10
4200,786,10
4300,807,10
4400,915,10
4500,841,10
4600,849,10
4700,915,10
4800,900,10
4900,967,10
5000,1133,10
5100,968,10
5200,986,10
5300,1048,10
5400,1052,10
5500,1130,10
5600,1178,10
5700,1213,10
5800,1236,10
5900,1243,10
6000,1256,10
6100,1281,10
6200,1299,10
6300,1352,10
6400,1398,10
6500,1350,10
6600,1313,10
6700,1782,10
6800,1413,10
6900,1450,10
7000,1367,10
7100,1457,10
7200,1479,10
7300,1483,10
7400,1497,10
7500,1545,10
7600,1540,10
7700,1754,10
7800,1586,10
7900,1597,10
8000,1619,10
8100,1644,10
8200,1640,10
8300,1579,10
8400,1963,10
8500,1705,10
8600,1674,10
8700,1764,10
8800,1776,10
8900,1704,10
9000,1866,10
9100,1831,10
9200,1868,10
9300,2111,10
9400,1808,10
9500,1803,10
9600,1918,10
9700,2166,10
9800,2094,10
9900,1955,10
10000,1946,10
