Size,TimeMicroseconds,Threshold
10000,4848,30
500,170,30
600,204,30
700,242,30
800,410,30
900,313,30
1000,349,30
1100,385,30
1200,420,30
1300,463,30
1400,710,30
1500,536,30
1600,571,30
1700,610,30
1800,639,30
1900,679,30
2000,711,30
2100,753,30
2200,1091,30
2300,1201,30
2400,879,30
2500,907,30
2600,1366,30
2700,1003,30
2800,1033,30
2900,1230,30
3000,1104,30
3100,1145,30
3200,1197,30
3300,1213,30
3400,1507,30
3500,1508,30
3600,1372,30
3700,1373,30
3800,1394,30
3900,1698,30
4000,1374,30
4100,1496,30
4200,1563,30
4300,1500,30
4400,1640,30
4500,1607,30
4600,1728,30
4700,1721,30
4800,1684,30
4900,1781,30
5000,1711,30
5100,1776,30
5200,1943,30
5300,1625,30
5400,1880,30
5500,2097,30
5600,2157,30
5700,2154,30
5800,2210,30
5900,2186,30
6000,2170,30
6100,2178,30
6200,2188,30
6300,2371,30
6400,2245,30
6500,2205,30
6600,2493,30
6700,3179,30
6800,2542,30
6900,2547,30
7000,2480,30
7100,2189,30
7200,2562,30
7300,2591,30
7400,2662,30
7500,2610,30
7600,2858,30
7700,2830,30
7800,3607,30
7900,2775,30
8000,2968,30
8100,3864,30
8200,2854,30
8300,3718,30
8400,4219,30
8500,3134,30
8600,3006,30
8700,3077,30
8800,3163,30
8900,3988,30
9000,4042,30
9100,4092,30
9200,3180,30
9300,3197,30
9400,4599,30
9500,3410,30
9600,3216,30
9700,3475,30
9800,3460,30
9900,3468,30
10000,4555,30
