Size,TimeMicroseconds
500,40
600,38
700,60
800,59
900,80
1000,96
1100,93
1200,105
1300,100
1400,137
1500,144
1600,153
1700,157
1800,171
1900,190
2000,139
2100,212
2200,210
2300,243
2400,258
2500,252
2600,283
2700,253
2800,323
2900,320
3000,330
3100,331
3200,326
3300,268
3400,406
3500,277
3600,273
3700,403
3800,425
3900,388
4000,445
4100,516
4200,532
4300,502
4400,520
4500,533
4600,486
4700,460
4800,402
4900,598
5000,515
5100,636
5200,638
5300,590
5400,716
5500,613
5600,661
5700,725
5800,661
5900,670
6000,735
6100,670
6200,737
6300,817
6400,713
6500,801
6600,789
6700,733
6800,790
6900,829
7000,782
7100,834
7200,826
7300,685
7400,874
7500,839
7600,932
7700,920
7800,838
7900,901
8000,984
8100,1010
8200,1026
8300,911
8400,932
8500,889
8600,998
8700,1016
8800,1246
8900,1034
9000,985
9100,991
9200,1145
9300,1020
9400,1230
9500,1172
9600,1119
9700,1196
9800,1166
9900,1148
10000,1185
