Size,TimeMicroseconds
500,50
600,85
700,82
800,107
900,89
1000,130
1100,141
1200,196
1300,156
1400,162
1500,191
1600,212
1700,226
1800,235
1900,260
2000,288
2100,276
2200,302
2300,292
2400,371
2500,323
2600,352
2700,384
2800,273
2900,407
3000,408
3100,422
3200,422
3300,478
3400,445
3500,502
3600,506
3700,473
3800,376
3900,563
4000,590
4100,594
4200,634
4300,622
4400,650
4500,671
4600,654
4700,629
4800,763
4900,628
5000,717
5100,689
5200,718
5300,789
5400,1102
5500,655
5600,800
5700,895
5800,816
5900,858
6000,907
6100,870
6200,995
6300,834
6400,883
6500,1117
6600,934
6700,865
6800,891
6900,987
7000,930
7100,906
7200,1417
7300,1021
7400,1199
7500,979
7600,807
7700,1144
7800,878
7900,1133
8000,1057
8100,1168
8200,1084
8300,1165
8400,1115
8500,1202
8600,1283
8700,1332
8800,1248
8900,1247
9000,1357
9100,1428
9200,1365
9300,1274
9400,1383
9500,1264
9600,1614
9700,1595
9800,1686
9900,1522
10000,1336
