Size,TimeMicroseconds
500,62
600,76
700,85
800,89
900,97
1000,129
1100,158
1200,195
1300,195
1400,250
1500,200
1600,266
1700,257
1800,288
1900,253
2000,312
2100,316
2200,361
2300,261
2400,414
2500,393
2600,388
2700,424
2800,433
2900,444
3000,537
3100,511
3200,528
3300,490
3400,548
3500,433
3600,599
3700,626
3800,692
3900,696
4000,677
4100,507
4200,718
4300,547
4400,691
4500,713
4600,816
4700,763
4800,893
4900,813
5000,752
5100,815
5200,932
5300,878
5400,925
5500,926
5600,985
5700,943
5800,921
5900,1254
6000,952
6100,1013
6200,1141
6300,1024
6400,1048
6500,1085
6600,1036
6700,1059
6800,1177
6900,1111
7000,1174
7100,1115
7200,1200
7300,1284
7400,1124
7500,1206
7600,1196
7700,1205
7800,1350
7900,1393
8000,1291
8100,1262
8200,1383
8300,1321
8400,1351
8500,1367
8600,1277
8700,1497
8800,1493
8900,1562
9000,1551
9100,1491
9200,1571
9300,1475
9400,1529
9500,1715
9600,1289
9700,1706
9800,1622
9900,1719
10000,1889
