Size,TimeMicroseconds
500,39
600,49
700,78
800,69
900,85
1000,78
1100,87
1200,116
1300,136
1400,122
1500,113
1600,139
1700,174
1800,184
1900,172
2000,132
2100,208
2200,257
2300,207
2400,257
2500,283
2600,258
2700,311
2800,334
2900,294
3000,280
3100,313
3200,328
3300,359
3400,353
3500,371
3600,407
3700,388
3800,327
3900,351
4000,405
4100,377
4200,485
4300,497
4400,518
4500,491
4600,449
4700,505
4800,559
4900,537
5000,514
5100,571
5200,583
5300,619
5400,613
5500,656
5600,615
5700,629
5800,642
5900,435
6000,578
6100,699
6200,517
6300,719
6400,718
6500,811
6600,560
6700,806
6800,870
6900,709
7000,1015
7100,674
7200,741
7300,723
7400,774
7500,823
7600,803
7700,1062
7800,853
7900,792
8000,924
8100,801
8200,809
8300,1187
8400,832
8500,798
8600,985
8700,971
8800,1115
8900,992
9000,1056
9100,914
9200,1075
9300,946
9400,981
9500,1147
9600,1053
9700,1236
9800,1113
9900,1030
10000,1197
