Scale, N, Approximate Area, Relative Deviation
1, 100, 1.06943, 0.132256
1, 600, 1.08564, 0.149411
1, 1100, 0.795447, 0.157826
1, 1600, 0.972214, 0.0293234
1, 2100, 0.995362, 0.0538311
1, 2600, 0.904907, 0.0419375
1, 3100, 1.01298, 0.0724885
1, 3600, 0.991118, 0.049338
1, 4100, 0.88922, 0.0585457
1, 4600, 0.896127, 0.0512324
1, 5100, 0.960776, 0.0172137
1, 5600, 0.913186, 0.0331713
1, 6100, 0.910056, 0.0364858
1, 6600, 0.960429, 0.0168467
1, 7100, 0.976322, 0.0336726
1, 7600, 0.876271, 0.0722546
1, 8100, 0.938606, 0.0062582
1, 8600, 0.967692, 0.0245358
1, 9100, 0.973282, 0.0304545
1, 9600, 0.973226, 0.0303956
1, 10100, 0.906758, 0.0399776
1, 10600, 0.898839, 0.0483614
1, 11100, 0.945938, 0.0015038
1, 11600, 0.91606, 0.0301289
1, 12100, 0.95052, 0.00635498
1, 12600, 0.983016, 0.0407603
1, 13100, 0.952918, 0.00889403
1, 13600, 0.885, 0.063013
1, 14100, 0.94946, 0.00523281
1, 14600, 0.922271, 0.0235528
1, 15100, 0.920062, 0.025892
1, 15600, 0.943546, 0.00102849
1, 16100, 0.93417, 0.0109545
1, 16600, 0.990955, 0.0491657
1, 17100, 0.919907, 0.0260554
1, 17600, 0.920289, 0.0256519
1, 18100, 0.92602, 0.0195837
1, 18600, 0.952351, 0.00829416
1, 19100, 0.971196, 0.0282455
1, 19600, 0.93898, 0.0058627
1, 20100, 0.965926, 0.022666
1, 20600, 0.977877, 0.0353194
1, 21100, 0.923833, 0.0218989
1, 21600, 0.963212, 0.0197926
1, 22100, 0.959016, 0.0153506
1, 22600, 0.932637, 0.0125783
1, 23100, 0.945699, 0.0012509
1, 23600, 0.909596, 0.0369721
1, 24100, 0.943168, 0.00142822
1, 24600, 0.938226, 0.00666112
1, 25100, 0.955171, 0.0112794
1, 25600, 0.919805, 0.0261636
1, 26100, 0.924162, 0.0215513
1, 26600, 0.967097, 0.0239059
1, 27100, 0.926652, 0.0189143
1, 27600, 0.954953, 0.0110491
1, 28100, 0.929312, 0.0160987
1, 28600, 0.950798, 0.00664945
1, 29100, 0.938804, 0.00604858
1, 29600, 0.912107, 0.0343139
1, 30100, 0.947343, 0.00299182
1, 30600, 0.957916, 0.0141862
1, 31100, 0.922821, 0.0229702
1, 31600, 0.980213, 0.0377925
1, 32100, 0.941321, 0.00338412
1, 32600, 0.932848, 0.0123548
1, 33100, 0.955765, 0.0119088
1, 33600, 0.948776, 0.00450931
1, 34100, 0.929448, 0.0159548
1, 34600, 0.94833, 0.00403651
1, 35100, 0.932605, 0.012612
1, 35600, 0.955828, 0.0119752
1, 36100, 0.94609, 0.00166563
1, 36600, 0.952557, 0.0085119
1, 37100, 0.973524, 0.0307106
1, 37600, 0.90783, 0.0388419
1, 38100, 0.964558, 0.0212184
1, 38600, 0.9299, 0.0154762
1, 39100, 0.955057, 0.0111588
1, 39600, 0.935142, 0.0099261
1, 40100, 0.93124, 0.0140571
1, 40600, 0.931505, 0.0137764
1, 41100, 0.971977, 0.0290729
1, 41600, 0.980393, 0.0379835
1, 42100, 0.941269, 0.00343896
1, 42600, 0.938437, 0.00643718
1, 43100, 0.941085, 0.0036341
1, 43600, 0.949692, 0.00547893
1, 44100, 0.940909, 0.00382039
1, 44600, 0.954339, 0.0103986
1, 45100, 0.948501, 0.0042179
1, 45600, 0.926801, 0.0187569
1, 46100, 0.929613, 0.0157793
1, 46600, 0.940293, 0.00447203
1, 47100, 0.943935, 0.000616627
1, 47600, 0.917884, 0.0281977
1, 48100, 0.944725, 0.000219822
1, 48600, 0.95421, 0.0102618
1, 49100, 0.93281, 0.0123946
1, 49600, 0.953397, 0.00940096
1, 50100, 0.919237, 0.0267655
1, 50600, 0.943393, 0.00119019
1, 51100, 0.946148, 0.00172701
1, 51600, 0.955445, 0.0115695
1, 52100, 0.935639, 0.00939975
1, 52600, 0.92656, 0.0190118
1, 53100, 0.948412, 0.00412334
1, 53600, 0.945006, 0.000517661
1, 54100, 0.933038, 0.012154
1, 54600, 0.93215, 0.0130938
1, 55100, 0.948746, 0.00447762
1, 55600, 0.936193, 0.00881345
1, 56100, 0.945352, 0.000883936
1, 56600, 0.95246, 0.00840954
1, 57100, 0.935777, 0.00925374
1, 57600, 0.939806, 0.00498743
1, 58100, 0.957655, 0.0139101
1, 58600, 0.936378, 0.00861758
1, 59100, 0.932075, 0.0131732
1, 59600, 0.946766, 0.00238133
1, 60100, 0.927404, 0.018118
1, 60600, 0.945261, 0.000787655
1, 61100, 0.951528, 0.00742285
1, 61600, 0.914922, 0.0313332
1, 62100, 0.933857, 0.011286
