Size,TimeMicroseconds,Threshold
500,54,20
Size,TimeMicroseconds,Threshold
600,40,20
Size,TimeMicroseconds,Threshold
700,55,20
Size,TimeMicroseconds,Threshold
800,60,20
Size,TimeMicroseconds,Threshold
900,66,20
Size,TimeMicroseconds,Threshold
1000,74,20
Size,TimeMicroseconds,Threshold
1100,86,20
Size,TimeMicroseconds,Threshold
1200,91,20
Size,TimeMicroseconds,Threshold
1300,99,20
Size,TimeMicroseconds,Threshold
1400,120,20
Size,TimeMicroseconds,Threshold
1500,140,20
Size,TimeMicroseconds,Threshold
1600,141,20
Size,TimeMicroseconds,Threshold
1700,141,20
Size,TimeMicroseconds,Threshold
1800,160,20
Size,TimeMicroseconds,Threshold
1900,158,20
Size,TimeMicroseconds,Threshold
2000,168,20
Size,TimeMicroseconds,Threshold
2100,181,20
Size,TimeMicroseconds,Threshold
2200,182,20
Size,TimeMicroseconds,Threshold
2300,197,20
Size,TimeMicroseconds,Threshold
2400,192,20
Size,TimeMicroseconds,Threshold
2500,212,20
Size,TimeMicroseconds,Threshold
2600,221,20
Size,TimeMicroseconds,Threshold
2700,255,20
Size,TimeMicroseconds,Threshold
2800,263,20
Size,TimeMicroseconds,Threshold
2900,268,20
Size,TimeMicroseconds,Threshold
3000,289,20
Size,TimeMicroseconds,Threshold
3100,320,20
Size,TimeMicroseconds,Threshold
3200,302,20
Size,TimeMicroseconds,Threshold
3300,302,20
Size,TimeMicroseconds,Threshold
3400,319,20
Size,TimeMicroseconds,Threshold
3500,318,20
Size,TimeMicroseconds,Threshold
3600,327,20
Size,TimeMicroseconds,Threshold
3700,332,20
Size,TimeMicroseconds,Threshold
3800,371,20
Size,TimeMicroseconds,Threshold
3900,375,20
Size,TimeMicroseconds,Threshold
4000,362,20
Size,TimeMicroseconds,Threshold
4100,383,20
Size,TimeMicroseconds,Threshold
4200,395,20
Size,TimeMicroseconds,Threshold
4300,396,20
Size,TimeMicroseconds,Threshold
4400,408,20
Size,TimeMicroseconds,Threshold
4500,416,20
Size,TimeMicroseconds,Threshold
4600,423,20
Size,TimeMicroseconds,Threshold
4700,434,20
Size,TimeMicroseconds,Threshold
4800,439,20
Size,TimeMicroseconds,Threshold
4900,450,20
Size,TimeMicroseconds,Threshold
5000,463,20
Size,TimeMicroseconds,Threshold
5100,470,20
Size,TimeMicroseconds,Threshold
5200,526,20
Size,TimeMicroseconds,Threshold
5300,548,20
Size,TimeMicroseconds,Threshold
5400,573,20
Size,TimeMicroseconds,Threshold
5500,576,20
Size,TimeMicroseconds,Threshold
5600,585,20
Size,TimeMicroseconds,Threshold
5700,599,20
Size,TimeMicroseconds,Threshold
5800,617,20
Size,TimeMicroseconds,Threshold
5900,622,20
Size,TimeMicroseconds,Threshold
6000,648,20
Size,TimeMicroseconds,Threshold
6100,624,20
Size,TimeMicroseconds,Threshold
6200,676,20
Size,TimeMicroseconds,Threshold
6300,673,20
Size,TimeMicroseconds,Threshold
6400,651,20
Size,TimeMicroseconds,Threshold
6500,667,20
Size,TimeMicroseconds,Threshold
6600,672,20
Size,TimeMicroseconds,Threshold
6700,752,20
Size,TimeMicroseconds,Threshold
6800,683,20
Size,TimeMicroseconds,Threshold
6900,695,20
Size,TimeMicroseconds,Threshold
7000,719,20
Size,TimeMicroseconds,Threshold
7100,739,20
Size,TimeMicroseconds,Threshold
7200,786,20
Size,TimeMicroseconds,Threshold
7300,823,20
Size,TimeMicroseconds,Threshold
7400,789,20
Size,TimeMicroseconds,Threshold
7500,801,20
Size,TimeMicroseconds,Threshold
7600,1078,20
Size,TimeMicroseconds,Threshold
7700,857,20
Size,TimeMicroseconds,Threshold
7800,816,20
Size,TimeMicroseconds,Threshold
7900,814,20
Size,TimeMicroseconds,Threshold
8000,922,20
Size,TimeMicroseconds,Threshold
8100,1164,20
Size,TimeMicroseconds,Threshold
8200,1174,20
Size,TimeMicroseconds,Threshold
8300,1213,20
Size,TimeMicroseconds,Threshold
8400,1121,20
Size,TimeMicroseconds,Threshold
8500,932,20
Size,TimeMicroseconds,Threshold
8600,1245,20
Size,TimeMicroseconds,Threshold
8700,1222,20
Size,TimeMicroseconds,Threshold
8800,1254,20
Size,TimeMicroseconds,Threshold
8900,1266,20
Size,TimeMicroseconds,Threshold
9000,1267,20
Size,TimeMicroseconds,Threshold
9100,1893,20
Size,TimeMicroseconds,Threshold
9200,1297,20
Size,TimeMicroseconds,Threshold
9300,1321,20
Size,TimeMicroseconds,Threshold
9400,1340,20
Size,TimeMicroseconds,Threshold
9500,1289,20
Size,TimeMicroseconds,Threshold
9600,1357,20
Size,TimeMicroseconds,Threshold
9700,1380,20
Size,TimeMicroseconds,Threshold
9800,1381,20
Size,TimeMicroseconds,Threshold
9900,1404,20
Size,TimeMicroseconds,Threshold
10000,1019,20
