Size,TimeMicroseconds,Threshold
500,228,30
Size,TimeMicroseconds,Threshold
600,182,30
Size,TimeMicroseconds,Threshold
700,338,30
Size,TimeMicroseconds,Threshold
800,296,30
Size,TimeMicroseconds,Threshold
900,331,30
Size,TimeMicroseconds,Threshold
1000,358,30
Size,TimeMicroseconds,Threshold
1100,410,30
Size,TimeMicroseconds,Threshold
1200,442,30
Size,TimeMicroseconds,Threshold
1300,475,30
Size,TimeMicroseconds,Threshold
1400,517,30
Size,TimeMicroseconds,Threshold
1500,550,30
Size,TimeMicroseconds,Threshold
1600,588,30
Size,TimeMicroseconds,Threshold
1700,581,30
Size,TimeMicroseconds,Threshold
1800,661,30
Size,TimeMicroseconds,Threshold
1900,668,30
Size,TimeMicroseconds,Threshold
2000,751,30
Size,TimeMicroseconds,Threshold
2100,800,30
Size,TimeMicroseconds,Threshold
2200,838,30
Size,TimeMicroseconds,Threshold
2300,858,30
Size,TimeMicroseconds,Threshold
2400,919,30
Size,TimeMicroseconds,Threshold
2500,949,30
Size,TimeMicroseconds,Threshold
2600,992,30
Size,TimeMicroseconds,Threshold
2700,1034,30
Size,TimeMicroseconds,Threshold
2800,1062,30
Size,TimeMicroseconds,Threshold
2900,1103,30
Size,TimeMicroseconds,Threshold
3000,1144,30
Size,TimeMicroseconds,Threshold
3100,1186,30
Size,TimeMicroseconds,Threshold
3200,1223,30
Size,TimeMicroseconds,Threshold
3300,1260,30
Size,TimeMicroseconds,Threshold
3400,1308,30
Size,TimeMicroseconds,Threshold
3500,1351,30
Size,TimeMicroseconds,Threshold
3600,1384,30
Size,TimeMicroseconds,Threshold
3700,1426,30
Size,TimeMicroseconds,Threshold
3800,1459,30
Size,TimeMicroseconds,Threshold
3900,1510,30
Size,TimeMicroseconds,Threshold
4000,1549,30
Size,TimeMicroseconds,Threshold
4100,1561,30
Size,TimeMicroseconds,Threshold
4200,1624,30
Size,TimeMicroseconds,Threshold
4300,1677,30
Size,TimeMicroseconds,Threshold
4400,1715,30
Size,TimeMicroseconds,Threshold
4500,1756,30
Size,TimeMicroseconds,Threshold
4600,1773,30
Size,TimeMicroseconds,Threshold
4700,1829,30
Size,TimeMicroseconds,Threshold
4800,1877,30
Size,TimeMicroseconds,Threshold
4900,1915,30
Size,TimeMicroseconds,Threshold
5000,1942,30
Size,TimeMicroseconds,Threshold
5100,1841,30
Size,TimeMicroseconds,Threshold
5200,2050,30
Size,TimeMicroseconds,Threshold
5300,2082,30
Size,TimeMicroseconds,Threshold
5400,2129,30
Size,TimeMicroseconds,Threshold
5500,2159,30
Size,TimeMicroseconds,Threshold
5600,2170,30
Size,TimeMicroseconds,Threshold
5700,2239,30
Size,TimeMicroseconds,Threshold
5800,2275,30
Size,TimeMicroseconds,Threshold
5900,2340,30
Size,TimeMicroseconds,Threshold
6000,2358,30
Size,TimeMicroseconds,Threshold
6100,2621,30
Size,TimeMicroseconds,Threshold
6200,1820,30
Size,TimeMicroseconds,Threshold
6300,2358,30
Size,TimeMicroseconds,Threshold
6400,2513,30
Size,TimeMicroseconds,Threshold
6500,2570,30
Size,TimeMicroseconds,Threshold
6600,2602,30
Size,TimeMicroseconds,Threshold
6700,1858,30
Size,TimeMicroseconds,Threshold
6800,2281,30
Size,TimeMicroseconds,Threshold
6900,1948,30
Size,TimeMicroseconds,Threshold
7000,2098,30
Size,TimeMicroseconds,Threshold
7100,2073,30
Size,TimeMicroseconds,Threshold
7200,2037,30
Size,TimeMicroseconds,Threshold
7300,2231,30
Size,TimeMicroseconds,Threshold
7400,2332,30
Size,TimeMicroseconds,Threshold
7500,2446,30
Size,TimeMicroseconds,Threshold
7600,2287,30
Size,TimeMicroseconds,Threshold
7700,3061,30
Size,TimeMicroseconds,Threshold
7800,3108,30
Size,TimeMicroseconds,Threshold
7900,3168,30
Size,TimeMicroseconds,Threshold
8000,3107,30
Size,TimeMicroseconds,Threshold
8100,3133,30
Size,TimeMicroseconds,Threshold
8200,2367,30
Size,TimeMicroseconds,Threshold
8300,2405,30
Size,TimeMicroseconds,Threshold
8400,3395,30
Size,TimeMicroseconds,Threshold
8500,3488,30
Size,TimeMicroseconds,Threshold
8600,3469,30
Size,TimeMicroseconds,Threshold
8700,2898,30
Size,TimeMicroseconds,Threshold
8800,2588,30
Size,TimeMicroseconds,Threshold
8900,2645,30
Size,TimeMicroseconds,Threshold
9000,3525,30
Size,TimeMicroseconds,Threshold
9100,3661,30
Size,TimeMicroseconds,Threshold
9200,3714,30
Size,TimeMicroseconds,Threshold
9300,2738,30
Size,TimeMicroseconds,Threshold
9400,2831,30
Size,TimeMicroseconds,Threshold
9500,2681,30
Size,TimeMicroseconds,Threshold
9600,3805,30
Size,TimeMicroseconds,Threshold
9700,3816,30
Size,TimeMicroseconds,Threshold
9800,2830,30
Size,TimeMicroseconds,Threshold
9900,2839,30
Size,TimeMicroseconds,Threshold
10000,3008,30
