Size,TimeMicroseconds,Threshold
10000,3055,5
500,204,5
600,187,5
700,269,5
800,306,5
900,283,5
1000,384,5
1100,423,5
1200,499,5
1300,413,5
1400,456,5
1500,485,5
1600,510,5
1700,435,5
1800,471,5
1900,752,5
2000,806,5
2100,808,5
2200,724,5
2300,736,5
2400,782,5
2500,857,5
2600,838,5
2700,871,5
2800,897,5
2900,1026,5
3000,1168,5
3100,1011,5
3200,1029,5
3300,1073,5
3400,879,5
3500,1415,5
3600,1439,5
3700,1229,5
3800,1344,5
3900,1635,5
4000,1577,5
4100,1343,5
4200,1385,5
4300,1406,5
4400,1453,5
4500,1489,5
4600,1511,5
4700,1829,5
4800,2108,5
4900,1663,5
5000,1645,5
5100,2216,5
5200,2440,5
5300,2116,5
5400,1785,5
5500,1677,5
5600,2299,5
5700,2325,5
5800,2684,5
5900,1885,5
6000,1905,5
6100,2027,5
6200,2037,5
6300,2410,5
6400,2622,5
6500,2030,5
6600,2891,5
6700,2027,5
6800,2256,5
6900,2189,5
7000,2259,5
7100,2125,5
7200,2299,5
7300,2437,5
7400,2388,5
7500,2296,5
7600,2342,5
7700,2049,5
7800,2420,5
7900,2535,5
8000,2487,5
8100,3600,5
8200,2472,5
8300,2445,5
8400,2299,5
8500,2698,5
8600,2748,5
8700,2589,5
8800,2751,5
8900,2717,5
9000,2813,5
9100,2776,5
9200,2769,5
9300,2995,5
9400,2984,5
9500,2870,5
9600,3135,5
9700,3066,5
9800,3569,5
9900,3222,5
10000,3116,5
