Size,TimeMicroseconds,Threshold
500,60,50
Size,TimeMicroseconds,Threshold
600,70,50
Size,TimeMicroseconds,Threshold
700,75,50
Size,TimeMicroseconds,Threshold
800,89,50
Size,TimeMicroseconds,Threshold
900,98,50
Size,TimeMicroseconds,Threshold
1000,103,50
Size,TimeMicroseconds,Threshold
1100,120,50
Size,TimeMicroseconds,Threshold
1200,131,50
Size,TimeMicroseconds,Threshold
1300,144,50
Size,TimeMicroseconds,Threshold
1400,171,50
Size,TimeMicroseconds,Threshold
1500,172,50
Size,TimeMicroseconds,Threshold
1600,196,50
Size,TimeMicroseconds,Threshold
1700,190,50
Size,TimeMicroseconds,Threshold
1800,242,50
Size,TimeMicroseconds,Threshold
1900,289,50
Size,TimeMicroseconds,Threshold
2000,297,50
Size,TimeMicroseconds,Threshold
2100,308,50
Size,TimeMicroseconds,Threshold
2200,333,50
Size,TimeMicroseconds,Threshold
2300,361,50
Size,TimeMicroseconds,Threshold
2400,382,50
Size,TimeMicroseconds,Threshold
2500,391,50
Size,TimeMicroseconds,Threshold
2600,410,50
Size,TimeMicroseconds,Threshold
2700,432,50
Size,TimeMicroseconds,Threshold
2800,453,50
Size,TimeMicroseconds,Threshold
2900,476,50
Size,TimeMicroseconds,Threshold
3000,500,50
Size,TimeMicroseconds,Threshold
3100,532,50
Size,TimeMicroseconds,Threshold
3200,548,50
Size,TimeMicroseconds,Threshold
3300,534,50
Size,TimeMicroseconds,Threshold
3400,547,50
Size,TimeMicroseconds,Threshold
3500,564,50
Size,TimeMicroseconds,Threshold
3600,577,50
Size,TimeMicroseconds,Threshold
3700,613,50
Size,TimeMicroseconds,Threshold
3800,633,50
Size,TimeMicroseconds,Threshold
3900,651,50
Size,TimeMicroseconds,Threshold
4000,743,50
Size,TimeMicroseconds,Threshold
4100,698,50
Size,TimeMicroseconds,Threshold
4200,544,50
Size,TimeMicroseconds,Threshold
4300,591,50
Size,TimeMicroseconds,Threshold
4400,612,50
Size,TimeMicroseconds,Threshold
4500,614,50
Size,TimeMicroseconds,Threshold
4600,814,50
Size,TimeMicroseconds,Threshold
4700,829,50
Size,TimeMicroseconds,Threshold
4800,856,50
Size,TimeMicroseconds,Threshold
4900,1020,50
Size,TimeMicroseconds,Threshold
5000,821,50
Size,TimeMicroseconds,Threshold
5100,770,50
Size,TimeMicroseconds,Threshold
5200,820,50
Size,TimeMicroseconds,Threshold
5300,1003,50
Size,TimeMicroseconds,Threshold
5400,976,50
Size,TimeMicroseconds,Threshold
5500,986,50
Size,TimeMicroseconds,Threshold
5600,1009,50
Size,TimeMicroseconds,Threshold
5700,1040,50
Size,TimeMicroseconds,Threshold
5800,1057,50
Size,TimeMicroseconds,Threshold
5900,1084,50
Size,TimeMicroseconds,Threshold
6000,1113,50
Size,TimeMicroseconds,Threshold
6100,1127,50
Size,TimeMicroseconds,Threshold
6200,1120,50
Size,TimeMicroseconds,Threshold
6300,950,50
Size,TimeMicroseconds,Threshold
6400,1098,50
Size,TimeMicroseconds,Threshold
6500,972,50
Size,TimeMicroseconds,Threshold
6600,1054,50
Size,TimeMicroseconds,Threshold
6700,1176,50
Size,TimeMicroseconds,Threshold
6800,1074,50
Size,TimeMicroseconds,Threshold
6900,1294,50
Size,TimeMicroseconds,Threshold
7000,1256,50
Size,TimeMicroseconds,Threshold
7100,1280,50
Size,TimeMicroseconds,Threshold
7200,1323,50
Size,TimeMicroseconds,Threshold
7300,1325,50
Size,TimeMicroseconds,Threshold
7400,1494,50
Size,TimeMicroseconds,Threshold
7500,1358,50
Size,TimeMicroseconds,Threshold
7600,1381,50
Size,TimeMicroseconds,Threshold
7700,1410,50
Size,TimeMicroseconds,Threshold
7800,1449,50
Size,TimeMicroseconds,Threshold
7900,1464,50
Size,TimeMicroseconds,Threshold
8000,1458,50
Size,TimeMicroseconds,Threshold
8100,1487,50
Size,TimeMicroseconds,Threshold
8200,1509,50
Size,TimeMicroseconds,Threshold
8300,1533,50
Size,TimeMicroseconds,Threshold
8400,1548,50
Size,TimeMicroseconds,Threshold
8500,1578,50
Size,TimeMicroseconds,Threshold
8600,1601,50
Size,TimeMicroseconds,Threshold
8700,1634,50
Size,TimeMicroseconds,Threshold
8800,1652,50
Size,TimeMicroseconds,Threshold
8900,1667,50
Size,TimeMicroseconds,Threshold
9000,1686,50
Size,TimeMicroseconds,Threshold
9100,1750,50
Size,TimeMicroseconds,Threshold
9200,1762,50
Size,TimeMicroseconds,Threshold
9300,1761,50
Size,TimeMicroseconds,Threshold
9400,1651,50
Size,TimeMicroseconds,Threshold
9500,1493,50
Size,TimeMicroseconds,Threshold
9600,1723,50
Size,TimeMicroseconds,Threshold
9700,1512,50
Size,TimeMicroseconds,Threshold
9800,1639,50
Size,TimeMicroseconds,Threshold
9900,1542,50
Size,TimeMicroseconds,Threshold
10000,1605,50
