Size,TimeMicroseconds,Threshold
500,148,10
Size,TimeMicroseconds,Threshold
600,183,10
Size,TimeMicroseconds,Threshold
700,273,10
Size,TimeMicroseconds,Threshold
800,242,10
Size,TimeMicroseconds,Threshold
900,270,10
Size,TimeMicroseconds,Threshold
1000,404,10
Size,TimeMicroseconds,Threshold
1100,314,10
Size,TimeMicroseconds,Threshold
1200,343,10
Size,TimeMicroseconds,Threshold
1300,583,10
Size,TimeMicroseconds,Threshold
1400,635,10
Size,TimeMicroseconds,Threshold
1500,679,10
Size,TimeMicroseconds,Threshold
1600,564,10
Size,TimeMicroseconds,Threshold
1700,608,10
Size,TimeMicroseconds,Threshold
1800,557,10
Size,TimeMicroseconds,Threshold
1900,761,10
Size,TimeMicroseconds,Threshold
2000,738,10
Size,TimeMicroseconds,Threshold
2100,610,10
Size,TimeMicroseconds,Threshold
2200,691,10
Size,TimeMicroseconds,Threshold
2300,680,10
Size,TimeMicroseconds,Threshold
2400,715,10
Size,TimeMicroseconds,Threshold
2500,746,10
Size,TimeMicroseconds,Threshold
2600,795,10
Size,TimeMicroseconds,Threshold
2700,840,10
Size,TimeMicroseconds,Threshold
2800,883,10
Size,TimeMicroseconds,Threshold
2900,905,10
Size,TimeMicroseconds,Threshold
3000,928,10
Size,TimeMicroseconds,Threshold
3100,987,10
Size,TimeMicroseconds,Threshold
3200,1019,10
Size,TimeMicroseconds,Threshold
3300,1015,10
Size,TimeMicroseconds,Threshold
3400,1047,10
Size,TimeMicroseconds,Threshold
3500,1098,10
Size,TimeMicroseconds,Threshold
3600,1114,10
Size,TimeMicroseconds,Threshold
3700,1158,10
Size,TimeMicroseconds,Threshold
3800,1184,10
Size,TimeMicroseconds,Threshold
3900,1543,10
Size,TimeMicroseconds,Threshold
4000,1230,10
Size,TimeMicroseconds,Threshold
4100,1258,10
Size,TimeMicroseconds,Threshold
4200,1275,10
Size,TimeMicroseconds,Threshold
4300,1335,10
Size,TimeMicroseconds,Threshold
4400,1366,10
Size,TimeMicroseconds,Threshold
4500,1522,10
Size,TimeMicroseconds,Threshold
4600,1481,10
Size,TimeMicroseconds,Threshold
4700,1486,10
Size,TimeMicroseconds,Threshold
4800,1506,10
Size,TimeMicroseconds,Threshold
4900,1532,10
Size,TimeMicroseconds,Threshold
5000,1588,10
Size,TimeMicroseconds,Threshold
5100,1600,10
Size,TimeMicroseconds,Threshold
5200,1651,10
Size,TimeMicroseconds,Threshold
5300,1692,10
Size,TimeMicroseconds,Threshold
5400,1703,10
Size,TimeMicroseconds,Threshold
5500,1713,10
Size,TimeMicroseconds,Threshold
5600,1764,10
Size,TimeMicroseconds,Threshold
5700,1788,10
Size,TimeMicroseconds,Threshold
5800,1814,10
Size,TimeMicroseconds,Threshold
5900,1848,10
Size,TimeMicroseconds,Threshold
6000,1883,10
Size,TimeMicroseconds,Threshold
6100,1965,10
Size,TimeMicroseconds,Threshold
6200,1979,10
Size,TimeMicroseconds,Threshold
6300,2056,10
Size,TimeMicroseconds,Threshold
6400,2082,10
Size,TimeMicroseconds,Threshold
6500,2101,10
Size,TimeMicroseconds,Threshold
6600,2143,10
Size,TimeMicroseconds,Threshold
6700,2158,10
Size,TimeMicroseconds,Threshold
6800,2196,10
Size,TimeMicroseconds,Threshold
6900,2203,10
Size,TimeMicroseconds,Threshold
7000,2257,10
Size,TimeMicroseconds,Threshold
7100,2360,10
Size,TimeMicroseconds,Threshold
7200,2324,10
Size,TimeMicroseconds,Threshold
7300,2373,10
Size,TimeMicroseconds,Threshold
7400,2441,10
Size,TimeMicroseconds,Threshold
7500,2429,10
Size,TimeMicroseconds,Threshold
7600,2433,10
Size,TimeMicroseconds,Threshold
7700,2494,10
Size,TimeMicroseconds,Threshold
7800,2502,10
Size,TimeMicroseconds,Threshold
7900,2543,10
Size,TimeMicroseconds,Threshold
8000,2595,10
Size,TimeMicroseconds,Threshold
8100,2660,10
Size,TimeMicroseconds,Threshold
8200,2629,10
Size,TimeMicroseconds,Threshold
8300,2650,10
Size,TimeMicroseconds,Threshold
8400,2723,10
Size,TimeMicroseconds,Threshold
8500,2741,10
Size,TimeMicroseconds,Threshold
8600,2903,10
Size,TimeMicroseconds,Threshold
8700,2873,10
Size,TimeMicroseconds,Threshold
8800,3018,10
Size,TimeMicroseconds,Threshold
8900,2924,10
Size,TimeMicroseconds,Threshold
9000,2932,10
Size,TimeMicroseconds,Threshold
9100,2962,10
Size,TimeMicroseconds,Threshold
9200,2998,10
Size,TimeMicroseconds,Threshold
9300,3055,10
Size,TimeMicroseconds,Threshold
9400,3078,10
Size,TimeMicroseconds,Threshold
9500,3160,10
Size,TimeMicroseconds,Threshold
9600,3151,10
Size,TimeMicroseconds,Threshold
9700,3193,10
Size,TimeMicroseconds,Threshold
9800,3353,10
Size,TimeMicroseconds,Threshold
9900,3253,10
Size,TimeMicroseconds,Threshold
10000,3255,10
