Size,TimeMicroseconds,Threshold
10000,1246,10
500,49,10
600,57,10
700,84,10
800,86,10
900,95,10
1000,107,10
1100,114,10
1200,128,10
1300,198,10
1400,169,10
1500,179,10
1600,190,10
1700,199,10
1800,253,10
1900,211,10
2000,226,10
2100,233,10
2200,249,10
2300,206,10
2400,285,10
2500,276,10
2600,361,10
2700,259,10
2800,373,10
2900,373,10
3000,489,10
3100,476,10
3200,394,10
3300,509,10
3400,468,10
3500,423,10
3600,439,10
3700,441,10
3800,450,10
3900,466,10
4000,476,10
4100,557,10
4200,496,10
4300,507,10
4400,670,10
4500,531,10
4600,535,10
4700,564,10
4800,562,10
4900,573,10
5000,719,10
5100,596,10
5200,789,10
5300,658,10
5400,677,10
5500,704,10
5600,605,10
5700,750,10
5800,1156,10
5900,981,10
6000,782,10
6100,1240,10
6200,814,10
6300,830,10
6400,856,10
6500,837,10
6600,856,10
6700,870,10
6800,880,10
6900,895,10
7000,919,10
7100,903,10
7200,1118,10
7300,918,10
7400,949,10
7500,951,10
7600,979,10
7700,970,10
7800,1193,10
7900,991,10
8000,998,10
8100,1018,10
8200,1030,10
8300,1039,10
8400,1439,10
8500,1050,10
8600,1069,10
8700,1074,10
8800,1084,10
8900,1109,10
9000,1125,10
9100,1140,10
9200,1140,10
9300,1194,10
9400,1519,10
9500,1189,10
9600,1189,10
9700,1315,10
9800,1150,10
9900,1528,10
10000,1270,10
