Size,TimeMicroseconds,Threshold
500,61,50
Size,TimeMicroseconds,Threshold
600,64,50
Size,TimeMicroseconds,Threshold
700,81,50
Size,TimeMicroseconds,Threshold
800,106,50
Size,TimeMicroseconds,Threshold
900,85,50
Size,TimeMicroseconds,Threshold
1000,111,50
Size,TimeMicroseconds,Threshold
1100,121,50
Size,TimeMicroseconds,Threshold
1200,136,50
Size,TimeMicroseconds,Threshold
1300,161,50
Size,TimeMicroseconds,Threshold
1400,273,50
Size,TimeMicroseconds,Threshold
1500,192,50
Size,TimeMicroseconds,Threshold
1600,319,50
Size,TimeMicroseconds,Threshold
1700,167,50
Size,TimeMicroseconds,Threshold
1800,211,50
Size,TimeMicroseconds,Threshold
1900,194,50
Size,TimeMicroseconds,Threshold
2000,303,50
Size,TimeMicroseconds,Threshold
2100,325,50
Size,TimeMicroseconds,Threshold
2200,352,50
Size,TimeMicroseconds,Threshold
2300,374,50
Size,TimeMicroseconds,Threshold
2400,397,50
Size,TimeMicroseconds,Threshold
2500,407,50
Size,TimeMicroseconds,Threshold
2600,454,50
Size,TimeMicroseconds,Threshold
2700,475,50
Size,TimeMicroseconds,Threshold
2800,506,50
Size,TimeMicroseconds,Threshold
2900,525,50
Size,TimeMicroseconds,Threshold
3000,570,50
Size,TimeMicroseconds,Threshold
3100,587,50
Size,TimeMicroseconds,Threshold
3200,621,50
Size,TimeMicroseconds,Threshold
3300,493,50
Size,TimeMicroseconds,Threshold
3400,503,50
Size,TimeMicroseconds,Threshold
3500,543,50
Size,TimeMicroseconds,Threshold
3600,549,50
Size,TimeMicroseconds,Threshold
3700,564,50
Size,TimeMicroseconds,Threshold
3800,588,50
Size,TimeMicroseconds,Threshold
3900,612,50
Size,TimeMicroseconds,Threshold
4000,636,50
Size,TimeMicroseconds,Threshold
4100,681,50
Size,TimeMicroseconds,Threshold
4200,452,50
Size,TimeMicroseconds,Threshold
4300,479,50
Size,TimeMicroseconds,Threshold
4400,514,50
Size,TimeMicroseconds,Threshold
4500,508,50
Size,TimeMicroseconds,Threshold
4600,616,50
Size,TimeMicroseconds,Threshold
4700,556,50
Size,TimeMicroseconds,Threshold
4800,678,50
Size,TimeMicroseconds,Threshold
4900,802,50
Size,TimeMicroseconds,Threshold
5000,626,50
Size,TimeMicroseconds,Threshold
5100,777,50
Size,TimeMicroseconds,Threshold
5200,825,50
Size,TimeMicroseconds,Threshold
5300,1003,50
Size,TimeMicroseconds,Threshold
5400,990,50
Size,TimeMicroseconds,Threshold
5500,1030,50
Size,TimeMicroseconds,Threshold
5600,1050,50
Size,TimeMicroseconds,Threshold
5700,1070,50
Size,TimeMicroseconds,Threshold
5800,1123,50
Size,TimeMicroseconds,Threshold
5900,1146,50
Size,TimeMicroseconds,Threshold
6000,1174,50
Size,TimeMicroseconds,Threshold
6100,1133,50
Size,TimeMicroseconds,Threshold
6200,895,50
Size,TimeMicroseconds,Threshold
6300,1078,50
Size,TimeMicroseconds,Threshold
6400,1060,50
Size,TimeMicroseconds,Threshold
6500,912,50
Size,TimeMicroseconds,Threshold
6600,753,50
Size,TimeMicroseconds,Threshold
6700,1152,50
Size,TimeMicroseconds,Threshold
6800,869,50
Size,TimeMicroseconds,Threshold
6900,1127,50
Size,TimeMicroseconds,Threshold
7000,1127,50
Size,TimeMicroseconds,Threshold
7100,1147,50
Size,TimeMicroseconds,Threshold
7200,1175,50
Size,TimeMicroseconds,Threshold
7300,1209,50
Size,TimeMicroseconds,Threshold
7400,1211,50
Size,TimeMicroseconds,Threshold
7500,1229,50
Size,TimeMicroseconds,Threshold
7600,1241,50
Size,TimeMicroseconds,Threshold
7700,1298,50
Size,TimeMicroseconds,Threshold
7800,1304,50
Size,TimeMicroseconds,Threshold
7900,1341,50
Size,TimeMicroseconds,Threshold
8000,1347,50
Size,TimeMicroseconds,Threshold
8100,1371,50
Size,TimeMicroseconds,Threshold
8200,1405,50
Size,TimeMicroseconds,Threshold
8300,1417,50
Size,TimeMicroseconds,Threshold
8400,1451,50
Size,TimeMicroseconds,Threshold
8500,1472,50
Size,TimeMicroseconds,Threshold
8600,1528,50
Size,TimeMicroseconds,Threshold
8700,1526,50
Size,TimeMicroseconds,Threshold
8800,1571,50
Size,TimeMicroseconds,Threshold
8900,1589,50
Size,TimeMicroseconds,Threshold
9000,1618,50
Size,TimeMicroseconds,Threshold
9100,1648,50
Size,TimeMicroseconds,Threshold
9200,1689,50
Size,TimeMicroseconds,Threshold
9300,1701,50
Size,TimeMicroseconds,Threshold
9400,1493,50
Size,TimeMicroseconds,Threshold
9500,1398,50
Size,TimeMicroseconds,Threshold
9600,1703,50
Size,TimeMicroseconds,Threshold
9700,1754,50
Size,TimeMicroseconds,Threshold
9800,1753,50
Size,TimeMicroseconds,Threshold
9900,1349,50
Size,TimeMicroseconds,Threshold
10000,1387,50
