Size,TimeMicroseconds,Threshold
10000,2817,10
500,134,10
600,160,10
700,189,10
800,219,10
900,245,10
1000,276,10
1100,304,10
1200,337,10
1300,364,10
1400,373,10
1500,583,10
1600,464,10
1700,485,10
1800,524,10
1900,524,10
2000,561,10
2100,615,10
2200,622,10
2300,645,10
2400,708,10
2500,936,10
2600,954,10
2700,794,10
2800,837,10
2900,833,10
3000,866,10
3100,897,10
3200,1371,10
3300,1265,10
3400,967,10
3500,995,10
3600,1492,10
3700,1482,10
3800,1076,10
3900,1189,10
4000,1852,10
4100,1185,10
4200,1575,10
4300,1895,10
4400,1716,10
4500,1287,10
4600,1258,10
4700,1831,10
4800,1395,10
4900,2037,10
5000,1868,10
5100,1479,10
5200,1443,10
5300,1533,10
5400,1561,10
5500,2066,10
5600,1643,10
5700,1672,10
5800,1650,10
5900,1711,10
6000,1769,10
6100,1777,10
6200,1818,10
6300,1830,10
6400,1721,10
6500,1893,10
6600,1934,10
6700,1973,10
6800,1903,10
6900,2630,10
7000,2042,10
7100,2075,10
7200,2082,10
7300,1876,10
7400,2096,10
7500,2189,10
7600,2127,10
7700,3123,10
7800,2967,10
7900,2166,10
8000,2323,10
8100,2210,10
8200,2352,10
8300,3589,10
8400,2275,10
8500,2299,10
8600,2499,10
8700,2508,10
8800,2405,10
8900,2425,10
9000,2524,10
9100,2548,10
9200,3482,10
9300,2625,10
9400,2480,10
9500,2453,10
9600,3804,10
9700,2560,10
9800,3760,10
9900,3612,10
10000,2860,10
