Size,TimeMicroseconds,Threshold
500,186,100
Size,TimeMicroseconds,Threshold
600,168,100
Size,TimeMicroseconds,Threshold
700,193,100
Size,TimeMicroseconds,Threshold
800,215,100
Size,TimeMicroseconds,Threshold
900,239,100
Size,TimeMicroseconds,Threshold
1000,302,100
Size,TimeMicroseconds,Threshold
1100,282,100
Size,TimeMicroseconds,Threshold
1200,308,100
Size,TimeMicroseconds,Threshold
1300,348,100
Size,TimeMicroseconds,Threshold
1400,366,100
Size,TimeMicroseconds,Threshold
1500,395,100
Size,TimeMicroseconds,Threshold
1600,412,100
Size,TimeMicroseconds,Threshold
1700,435,100
Size,TimeMicroseconds,Threshold
1800,536,100
Size,TimeMicroseconds,Threshold
1900,664,100
Size,TimeMicroseconds,Threshold
2000,473,100
Size,TimeMicroseconds,Threshold
2100,652,100
Size,TimeMicroseconds,Threshold
2200,722,100
Size,TimeMicroseconds,Threshold
2300,754,100
Size,TimeMicroseconds,Threshold
2400,587,100
Size,TimeMicroseconds,Threshold
2500,593,100
Size,TimeMicroseconds,Threshold
2600,941,100
Size,TimeMicroseconds,Threshold
2700,948,100
Size,TimeMicroseconds,Threshold
2800,950,100
Size,TimeMicroseconds,Threshold
2900,762,100
Size,TimeMicroseconds,Threshold
3000,879,100
Size,TimeMicroseconds,Threshold
3100,1146,100
Size,TimeMicroseconds,Threshold
3200,822,100
Size,TimeMicroseconds,Threshold
3300,827,100
Size,TimeMicroseconds,Threshold
3400,851,100
Size,TimeMicroseconds,Threshold
3500,893,100
Size,TimeMicroseconds,Threshold
3600,942,100
Size,TimeMicroseconds,Threshold
3700,978,100
Size,TimeMicroseconds,Threshold
3800,945,100
Size,TimeMicroseconds,Threshold
3900,988,100
Size,TimeMicroseconds,Threshold
4000,989,100
Size,TimeMicroseconds,Threshold
4100,1019,100
Size,TimeMicroseconds,Threshold
4200,1079,100
Size,TimeMicroseconds,Threshold
4300,1074,100
Size,TimeMicroseconds,Threshold
4400,1102,100
Size,TimeMicroseconds,Threshold
4500,1563,100
Size,TimeMicroseconds,Threshold
4600,1270,100
Size,TimeMicroseconds,Threshold
4700,1237,100
Size,TimeMicroseconds,Threshold
4800,1210,100
Size,TimeMicroseconds,Threshold
4900,1315,100
Size,TimeMicroseconds,Threshold
5000,1894,100
Size,TimeMicroseconds,Threshold
5100,1864,100
Size,TimeMicroseconds,Threshold
5200,1900,100
Size,TimeMicroseconds,Threshold
5300,1961,100
Size,TimeMicroseconds,Threshold
5400,1364,100
Size,TimeMicroseconds,Threshold
5500,1436,100
Size,TimeMicroseconds,Threshold
5600,1364,100
Size,TimeMicroseconds,Threshold
5700,1960,100
Size,TimeMicroseconds,Threshold
5800,1538,100
Size,TimeMicroseconds,Threshold
5900,1483,100
Size,TimeMicroseconds,Threshold
6000,1503,100
Size,TimeMicroseconds,Threshold
6100,1553,100
Size,TimeMicroseconds,Threshold
6200,1711,100
Size,TimeMicroseconds,Threshold
6300,2340,100
Size,TimeMicroseconds,Threshold
6400,2353,100
Size,TimeMicroseconds,Threshold
6500,2056,100
Size,TimeMicroseconds,Threshold
6600,2141,100
Size,TimeMicroseconds,Threshold
6700,2038,100
Size,TimeMicroseconds,Threshold
6800,2497,100
Size,TimeMicroseconds,Threshold
6900,2543,100
Size,TimeMicroseconds,Threshold
7000,2579,100
Size,TimeMicroseconds,Threshold
7100,1902,100
Size,TimeMicroseconds,Threshold
7200,1959,100
Size,TimeMicroseconds,Threshold
7300,2115,100
Size,TimeMicroseconds,Threshold
7400,2025,100
Size,TimeMicroseconds,Threshold
7500,1880,100
Size,TimeMicroseconds,Threshold
7600,2016,100
Size,TimeMicroseconds,Threshold
7700,2374,100
Size,TimeMicroseconds,Threshold
7800,2182,100
Size,TimeMicroseconds,Threshold
7900,2167,100
Size,TimeMicroseconds,Threshold
8000,2145,100
Size,TimeMicroseconds,Threshold
8100,2039,100
Size,TimeMicroseconds,Threshold
8200,2065,100
Size,TimeMicroseconds,Threshold
8300,2751,100
Size,TimeMicroseconds,Threshold
8400,2171,100
Size,TimeMicroseconds,Threshold
8500,2143,100
Size,TimeMicroseconds,Threshold
8600,3063,100
Size,TimeMicroseconds,Threshold
8700,3205,100
Size,TimeMicroseconds,Threshold
8800,2369,100
Size,TimeMicroseconds,Threshold
8900,2234,100
Size,TimeMicroseconds,Threshold
9000,2302,100
Size,TimeMicroseconds,Threshold
9100,2323,100
Size,TimeMicroseconds,Threshold
9200,3408,100
Size,TimeMicroseconds,Threshold
9300,2294,100
Size,TimeMicroseconds,Threshold
9400,2672,100
Size,TimeMicroseconds,Threshold
9500,2695,100
Size,TimeMicroseconds,Threshold
9600,2439,100
Size,TimeMicroseconds,Threshold
9700,3343,100
Size,TimeMicroseconds,Threshold
9800,2520,100
Size,TimeMicroseconds,Threshold
9900,3151,100
Size,TimeMicroseconds,Threshold
10000,2500,100
