Size,TimeMicroseconds
500,52
600,55
700,74
800,95
900,92
1000,126
1100,120
1200,134
1300,169
1400,155
1500,166
1600,177
1700,226
1800,171
1900,246
2000,236
2100,280
2200,295
2300,275
2400,284
2500,284
2600,341
2700,373
2800,341
2900,349
3000,418
3100,310
3200,336
3300,402
3400,441
3500,462
3600,480
3700,497
3800,534
3900,493
4000,571
4100,543
4200,593
4300,587
4400,471
4500,596
4600,642
4700,670
4800,690
4900,532
5000,622
5100,763
5200,710
5300,707
5400,579
5500,744
5600,815
5700,643
5800,1091
5900,867
6000,661
6100,717
6200,912
6300,826
6400,977
6500,945
6600,1132
6700,901
6800,1110
6900,1039
7000,1017
7100,1004
7200,1131
7300,1025
7400,1030
7500,1028
7600,1084
7700,1102
7800,1088
7900,1158
8000,1204
8100,1188
8200,1164
8300,1156
8400,1174
8500,1169
8600,1252
8700,1228
8800,1147
8900,1245
9000,1460
9100,1275
9200,1085
9300,1452
9400,1228
9500,1359
9600,1497
9700,1522
9800,1446
9900,1579
10000,1467
