algorithm,size,type,avgTimeMs,avgCharComps
mergesort_lcp,100,0,0.1572,2333
mergesort_lcp,200,0,0.422,5779
mergesort_lcp,300,0,0.65514,9662
mergesort_lcp,400,0,0.84306,13922
mergesort_lcp,500,0,1.04016,18389
mergesort_lcp,600,0,1.4169,23144
mergesort_lcp,700,0,1.7195,28146
mergesort_lcp,800,0,1.99742,33144
mergesort_lcp,900,0,2.27652,38400
mergesort_lcp,1000,0,2.36876,43622
mergesort_lcp,1100,0,2.67574,48941
mergesort_lcp,1200,0,2.89712,54404
mergesort_lcp,1300,0,3.30194,60046
mergesort_lcp,1400,0,3.54518,65782
mergesort_lcp,1500,0,3.87982,71449
mergesort_lcp,1600,0,4.2635,77219
mergesort_lcp,1700,0,5.28674,83068
mergesort_lcp,1800,0,4.91454,89031
mergesort_lcp,1900,0,4.93766,94851
mergesort_lcp,2000,0,5.42954,101006
mergesort_lcp,2100,0,5.46418,107096
mergesort_lcp,2200,0,5.8469,113291
mergesort_lcp,2300,0,6.11342,119350
mergesort_lcp,2400,0,6.45846,125564
mergesort_lcp,2500,0,6.77054,131879
mergesort_lcp,2600,0,7.12146,138202
mergesort_lcp,2700,0,7.56988,144850
mergesort_lcp,2800,0,7.59974,151399
mergesort_lcp,2900,0,7.81958,157814
mergesort_lcp,3000,0,8.80084,164448
mergesort_lcp,100,1,0.175,1402
mergesort_lcp,200,1,0.32202,3453
mergesort_lcp,300,1,0.50634,5740
mergesort_lcp,400,1,0.71064,8204
mergesort_lcp,500,1,0.92194,11171
mergesort_lcp,600,1,1.13134,13526
mergesort_lcp,700,1,1.37668,16228
mergesort_lcp,800,1,1.58098,19358
mergesort_lcp,900,1,1.87242,22526
mergesort_lcp,1000,1,2.28452,26010
mergesort_lcp,1100,1,2.34032,28796
mergesort_lcp,1200,1,2.60642,31552
mergesort_lcp,1300,1,2.82512,34530
mergesort_lcp,1400,1,3.08168,37749
mergesort_lcp,1500,1,3.2905,41213
mergesort_lcp,1600,1,3.82996,44703
mergesort_lcp,1700,1,3.89768,47791
mergesort_lcp,1800,1,4.03188,51607
mergesort_lcp,1900,1,4.67274,55525
mergesort_lcp,2000,1,4.84416,59692
mergesort_lcp,2100,1,4.98038,63071
mergesort_lcp,2200,1,5.14818,65802
mergesort_lcp,2300,1,5.72612,68861
mergesort_lcp,2400,1,5.6415,71975
mergesort_lcp,2500,1,5.86166,75464
mergesort_lcp,2600,1,6.06442,79045
mergesort_lcp,2700,1,6.51912,82583
mergesort_lcp,2800,1,6.70978,85970
mergesort_lcp,2900,1,6.90532,89392
mergesort_lcp,3000,1,7.13,93562
mergesort_lcp,100,2,0.201,2304
mergesort_lcp,200,2,0.35856,5737
mergesort_lcp,300,2,0.65108,9651
mergesort_lcp,400,2,0.8427,13877
mergesort_lcp,500,2,1.01342,17967
mergesort_lcp,600,2,1.3158,22995
mergesort_lcp,700,2,1.53542,27371
mergesort_lcp,800,2,1.83608,32251
mergesort_lcp,900,2,2.04254,37078
mergesort_lcp,1000,2,2.27984,41261
mergesort_lcp,1100,2,2.49706,46486
mergesort_lcp,1200,2,2.95676,52606
mergesort_lcp,1300,2,3.07284,57130
mergesort_lcp,1400,2,4.35758,62729
mergesort_lcp,1500,2,3.95452,67512
mergesort_lcp,1600,2,3.99992,73877
mergesort_lcp,1700,2,4.12452,77699
mergesort_lcp,1800,2,4.5163,84237
mergesort_lcp,1900,2,4.72632,88566
mergesort_lcp,2000,2,4.9166,93452
mergesort_lcp,2100,2,5.22004,97974
mergesort_lcp,2200,2,5.62782,105522
mergesort_lcp,2300,2,5.88314,111731
mergesort_lcp,2400,2,6.08444,117697
mergesort_lcp,2500,2,6.32068,121737
mergesort_lcp,2600,2,6.72248,128145
mergesort_lcp,2700,2,6.93664,135812
mergesort_lcp,2800,2,7.30802,141100
mergesort_lcp,2900,2,7.52446,146096
mergesort_lcp,3000,2,7.85076,152790
quick3way,100,0,0.029,1398
quick3way,200,0,0.04822,2723
quick3way,300,0,0.10306,5042
